Timestamp,Action,Entry Price,Exit Price,Quantity,Profit/Loss,Profit %,Trade Duration,Signal Reason
2026-06-18 14:40:46,SELL,1746.65,1751.2,1.431311,-6.5125,-0.26,5 min,Scalper Signal
2026-06-18 15:00:50,BUY,1745.52,1745.25,1.430372,-0.3862,-0.02,5 min,Scalper Signal
2026-06-18 15:20:55,BUY,1747.9,1746.07,1.428314,-2.6138,-0.1,5 min,Scalper Signal
2026-06-18 15:51:02,SELL,1742.34,1741.45,1.432122,1.2746,0.05,15 min,Scalper Signal
2026-06-18 16:16:10,SELL,1740.94,1749.55,1.43364,-12.3436,-0.49,10 min,Scalper Signal
2026-06-18 16:36:17,BUY,1748.07,1744.83,1.424262,-4.6146,-0.19,10 min,Scalper Signal
2026-06-18 17:01:27,BUY,1745.44,1743.19,1.425086,-3.2064,-0.13,10 min,Scalper Signal
2026-06-18 17:21:35,SELL,1741.34,1743.33,1.427521,-2.8408,-0.11,5 min,Scalper Signal
2026-06-18 18:01:42,BUY,1745.08,1748.87,1.423647,5.3956,0.22,25 min,Scalper Signal
2026-06-18 18:21:50,SELL,1748.27,1750.56,1.422593,-3.2577,-0.13,5 min,Scalper Signal
2026-06-18 18:46:58,BUY,1750.0,1748.96,1.420256,-1.4771,-0.06,10 min,Scalper Signal
